Date,kWh
2023-02-28 01:00:00,48.0
2023-02-28 02:00:00,35.0
2023-02-28 03:00:00,28.0
2023-02-28 04:00:00,27.0
2023-02-28 05:00:00,22.0
2023-02-28 06:00:00,15.0
2023-02-28 07:00:00,13.0
2023-02-28 08:00:00,14.0
2023-02-28 09:00:00,15.0
2023-02-28 10:00:00,14.0
2023-02-28 11:00:00,15.0
2023-02-28 12:00:00,15.0
2023-02-28 13:00:00,14.0
2023-02-28 14:00:00,15.0
2023-02-28 15:00:00,15.0
2023-02-28 16:00:00,15.0
2023-02-28 17:00:00,15.0
2023-02-28 18:00:00,15.0
2023-02-28 19:00:00,15.0
2023-02-28 20:00:00,16.0
2023-02-28 21:00:00,15.0
2023-02-28 22:00:00,15.0
2023-02-28 23:00:00,69.0
2023-03-01 00:00:00,16.0
2023-03-01 01:00:00,120.0
2023-03-01 02:00:00,266.0
2023-03-01 03:00:00,361.0
2023-03-01 04:00:00,167.0
2023-03-01 05:00:00,152.0
2023-03-01 06:00:00,437.0
2023-03-01 07:00:00,414.0
2023-03-01 08:00:00,131.0
2023-03-01 09:00:00,98.0
2023-03-01 10:00:00,136.0
2023-03-01 11:00:00,46.0
2023-03-01 12:00:00,35.0
2023-03-01 13:00:00,77.0
2023-03-01 14:00:00,14.0
2023-03-01 15:00:00,15.0
2023-03-01 16:00:00,216.0
2023-03-01 17:00:00,589.0
2023-03-01 18:00:00,553.0
2023-03-01 19:00:00,621.0
2023-03-01 20:00:00,669.0
2023-03-01 21:00:00,709.0
2023-03-01 22:00:00,537.0
2023-03-01 23:00:00,355.0
2023-03-02 00:00:00,370.0
2023-03-02 01:00:00,203.0
2023-03-02 02:00:00,26.0
2023-03-02 03:00:00,14.0
2023-03-02 04:00:00,14.0
2023-03-02 05:00:00,24.0
2023-03-02 06:00:00,35.0
2023-03-02 07:00:00,21.0
2023-03-02 08:00:00,15.0
2023-03-02 09:00:00,14.0
2023-03-02 10:00:00,15.0
2023-03-02 11:00:00,15.0
2023-03-02 12:00:00,15.0
2023-03-02 13:00:00,35.0
2023-03-02 14:00:00,15.0
2023-03-02 15:00:00,16.0
2023-03-02 16:00:00,15.0
2023-03-02 17:00:00,34.0
2023-03-02 18:00:00,33.0
2023-03-02 19:00:00,48.0
2023-03-02 20:00:00,185.0
2023-03-02 21:00:00,349.0
2023-03-02 22:00:00,284.0
2023-03-02 23:00:00,232.0
2023-03-03 00:00:00,155.0
2023-03-03 01:00:00,31.0
2023-03-03 02:00:00,15.0
2023-03-03 03:00:00,24.0
2023-03-03 04:00:00,15.0
2023-03-03 05:00:00,15.0
2023-03-03 06:00:00,15.0
2023-03-03 07:00:00,15.0
2023-03-03 08:00:00,15.0
2023-03-03 09:00:00,15.0
2023-03-03 10:00:00,15.0
2023-03-03 11:00:00,16.0
2023-03-03 12:00:00,15.0
2023-03-03 13:00:00,15.0
2023-03-03 14:00:00,15.0
2023-03-03 15:00:00,15.0
2023-03-03 16:00:00,15.0
2023-03-03 17:00:00,16.0
2023-03-03 18:00:00,15.0
2023-03-03 19:00:00,15.0
2023-03-03 20:00:00,16.0
2023-03-03 21:00:00,51.0
2023-03-03 22:00:00,23.0
2023-03-03 23:00:00,15.0
2023-03-04 00:00:00,15.0
2023-03-04 01:00:00,15.0
2023-03-04 02:00:00,15.0
2023-03-04 03:00:00,15.0
2023-03-04 04:00:00,14.0
2023-03-04 05:00:00,15.0
