Date,kWh
2023-05-30 01:00:00,9.0
2023-05-30 02:00:00,9.0
2023-05-30 03:00:00,8.0
2023-05-30 04:00:00,9.0
2023-05-30 05:00:00,10.0
2023-05-30 06:00:00,10.0
2023-05-30 07:00:00,56.0
2023-05-30 08:00:00,604.0
2023-05-30 09:00:00,3847.0
2023-05-30 10:00:00,6108.0
2023-05-30 11:00:00,8081.0
2023-05-30 12:00:00,8661.0
2023-05-30 13:00:00,7783.0
2023-05-30 14:00:00,8319.0
2023-05-30 15:00:00,6106.0
2023-05-30 16:00:00,7665.0
2023-05-30 17:00:00,5498.0
2023-05-30 18:00:00,4031.0
2023-05-30 19:00:00,1476.0
2023-05-30 20:00:00,304.0
2023-05-30 21:00:00,111.0
2023-05-30 22:00:00,9.0
2023-05-30 23:00:00,10.0
2023-05-31 00:00:00,9.0
2023-05-31 01:00:00,9.0
2023-05-31 02:00:00,9.0
2023-05-31 03:00:00,8.0
2023-05-31 04:00:00,9.0
2023-05-31 05:00:00,9.0
2023-05-31 06:00:00,56.0
2023-05-31 07:00:00,401.0
2023-05-31 08:00:00,1676.0
2023-05-31 09:00:00,4338.0
2023-05-31 10:00:00,6642.0
2023-05-31 11:00:00,8047.0
2023-05-31 12:00:00,8818.0
2023-05-31 13:00:00,9030.0
2023-05-31 14:00:00,9194.0
2023-05-31 15:00:00,8687.0
2023-05-31 16:00:00,7739.0
2023-05-31 17:00:00,6550.0
2023-05-31 18:00:00,4098.0
2023-05-31 19:00:00,2193.0
2023-05-31 20:00:00,574.0
2023-05-31 21:00:00,95.0
2023-05-31 22:00:00,9.0
2023-05-31 23:00:00,9.0
2023-06-01 00:00:00,9.0
2023-06-01 01:00:00,9.0
2023-06-01 02:00:00,9.0
2023-06-01 03:00:00,9.0
2023-06-01 04:00:00,8.0
2023-06-01 05:00:00,13.0
2023-06-01 06:00:00,14.0
2023-06-01 07:00:00,555.0
2023-06-01 08:00:00,995.0
2023-06-01 09:00:00,3802.0
2023-06-01 10:00:00,6499.0
2023-06-01 11:00:00,7994.0
2023-06-01 12:00:00,8725.0
2023-06-01 13:00:00,7144.0
2023-06-01 14:00:00,5258.0
2023-06-01 15:00:00,5621.0
2023-06-01 16:00:00,1841.0
2023-06-01 17:00:00,3847.0
2023-06-01 18:00:00,5073.0
2023-06-01 19:00:00,2271.0
2023-06-01 20:00:00,818.0
2023-06-01 21:00:00,131.0
2023-06-01 22:00:00,10.0
2023-06-01 23:00:00,12.0
2023-06-02 00:00:00,10.0
2023-06-02 01:00:00,8.0
2023-06-02 02:00:00,9.0
2023-06-02 03:00:00,9.0
2023-06-02 04:00:00,8.0
2023-06-02 05:00:00,13.0
2023-06-02 06:00:00,27.0
2023-06-02 07:00:00,450.0
2023-06-02 08:00:00,2195.0
2023-06-02 09:00:00,4248.0
2023-06-02 10:00:00,5171.0
2023-06-02 11:00:00,7684.0
2023-06-02 12:00:00,5642.0
2023-06-02 13:00:00,4574.0
2023-06-02 14:00:00,4124.0
2023-06-02 15:00:00,4715.0
2023-06-02 16:00:00,5450.0
2023-06-02 17:00:00,5337.0
2023-06-02 18:00:00,4134.0
2023-06-02 19:00:00,2198.0
2023-06-02 20:00:00,505.0
2023-06-02 21:00:00,87.0
2023-06-02 22:00:00,11.0
2023-06-02 23:00:00,11.0
2023-06-03 00:00:00,9.0
2023-06-03 01:00:00,9.0
2023-06-03 02:00:00,9.0
2023-06-03 03:00:00,9.0
2023-06-03 04:00:00,8.0
2023-06-03 05:00:00,9.0
2023-06-03 06:00:00,38.0
2023-06-03 07:00:00,285.0
2023-06-03 08:00:00,1568.0
2023-06-03 09:00:00,3265.0
2023-06-03 10:00:00,6190.0
2023-06-03 11:00:00,5194.0
2023-06-03 12:00:00,7091.0
2023-06-03 13:00:00,7347.0
2023-06-03 14:00:00,5793.0
2023-06-03 15:00:00,7580.0
2023-06-03 16:00:00,7952.0
2023-06-03 17:00:00,6860.0
2023-06-03 18:00:00,4624.0
2023-06-03 19:00:00,2269.0
2023-06-03 20:00:00,630.0
2023-06-03 21:00:00,109.0
2023-06-03 22:00:00,9.0
2023-06-03 23:00:00,9.0
2023-06-04 00:00:00,8.0
2023-06-04 01:00:00,9.0
2023-06-04 02:00:00,9.0
2023-06-04 03:00:00,8.0
2023-06-04 04:00:00,9.0
2023-06-04 05:00:00,9.0
2023-06-04 06:00:00,40.0
2023-06-04 07:00:00,377.0
2023-06-04 08:00:00,1620.0
2023-06-04 09:00:00,4144.0
2023-06-04 10:00:00,6371.0
2023-06-04 11:00:00,7791.0
2023-06-04 12:00:00,8451.0
2023-06-04 13:00:00,8828.0
2023-06-04 14:00:00,7645.0
2023-06-04 15:00:00,6884.0
2023-06-04 16:00:00,3831.0
2023-06-04 17:00:00,3932.0
2023-06-04 18:00:00,4075.0
2023-06-04 19:00:00,2090.0
2023-06-04 20:00:00,680.0
2023-06-04 21:00:00,119.0
2023-06-04 22:00:00,8.0
2023-06-04 23:00:00,9.0
2023-06-05 00:00:00,9.0
2023-06-05 01:00:00,9.0
2023-06-05 02:00:00,8.0
2023-06-05 03:00:00,9.0
2023-06-05 04:00:00,9.0
2023-06-05 05:00:00,8.0
2023-06-05 06:00:00,39.0
2023-06-05 07:00:00,350.0
2023-06-05 08:00:00,1046.0
2023-06-05 09:00:00,1704.0
2023-06-05 10:00:00,2767.0
2023-06-05 11:00:00,4616.0
2023-06-05 12:00:00,6396.0
2023-06-05 13:00:00,4940.0
2023-06-05 14:00:00,5877.0
2023-06-05 15:00:00,4718.0
2023-06-05 16:00:00,3559.0
2023-06-05 17:00:00,4218.0
2023-06-05 18:00:00,3857.0
2023-06-05 19:00:00,1937.0
