Date,kWh
2023-08-30 01:00:00,725.0
2023-08-30 02:00:00,711.0
2023-08-30 03:00:00,710.0
2023-08-30 04:00:00,710.0
2023-08-30 05:00:00,761.0
2023-08-30 06:00:00,813.0
2023-08-30 07:00:00,875.0
2023-08-30 08:00:00,997.0
2023-08-30 09:00:00,1084.0
2023-08-30 10:00:00,1099.0
2023-08-30 11:00:00,1076.0
2023-08-30 12:00:00,1059.0
2023-08-30 13:00:00,1069.0
2023-08-30 14:00:00,1025.0
2023-08-30 15:00:00,1012.0
2023-08-30 16:00:00,1037.0
2023-08-30 17:00:00,1051.0
2023-08-30 18:00:00,1069.0
2023-08-30 19:00:00,1048.0
2023-08-30 20:00:00,1040.0
2023-08-30 21:00:00,986.0
2023-08-30 22:00:00,951.0
2023-08-30 23:00:00,933.0
2023-08-31 00:00:00,878.0
2023-08-31 01:00:00,807.0
2023-08-31 02:00:00,729.0
2023-08-31 03:00:00,720.0
2023-08-31 04:00:00,720.0
2023-08-31 05:00:00,778.0
2023-08-31 06:00:00,840.0
2023-08-31 07:00:00,921.0
2023-08-31 08:00:00,1100.0
2023-08-31 09:00:00,1094.0
2023-08-31 10:00:00,1095.0
2023-08-31 11:00:00,1064.0
2023-08-31 12:00:00,1081.0
2023-08-31 13:00:00,1135.0
2023-08-31 14:00:00,1127.0
2023-08-31 15:00:00,1131.0
2023-08-31 16:00:00,1085.0
2023-08-31 17:00:00,1072.0
2023-08-31 18:00:00,1136.0
2023-08-31 19:00:00,1088.0
2023-08-31 20:00:00,1059.0
2023-08-31 21:00:00,1028.0
2023-08-31 22:00:00,997.0
2023-08-31 23:00:00,939.0
2023-09-01 00:00:00,836.0
2023-09-01 01:00:00,759.0
2023-09-01 02:00:00,701.0
2023-09-01 03:00:00,689.0
2023-09-01 04:00:00,680.0
2023-09-01 05:00:00,730.0
2023-09-01 06:00:00,790.0
2023-09-01 07:00:00,865.0
2023-09-01 08:00:00,1084.0
2023-09-01 09:00:00,1059.0
2023-09-01 10:00:00,1068.0
2023-09-01 11:00:00,1081.0
2023-09-01 12:00:00,1074.0
2023-09-01 13:00:00,1086.0
2023-09-01 14:00:00,1071.0
2023-09-01 15:00:00,1083.0
2023-09-01 16:00:00,1113.0
2023-09-01 17:00:00,1130.0
2023-09-01 18:00:00,1161.0
2023-09-01 19:00:00,1223.0
2023-09-01 20:00:00,1318.0
2023-09-01 21:00:00,1266.0
2023-09-01 22:00:00,1181.0
2023-09-01 23:00:00,1009.0
2023-09-02 00:00:00,878.0
2023-09-02 01:00:00,810.0
2023-09-02 02:00:00,770.0
2023-09-02 03:00:00,769.0
2023-09-02 04:00:00,750.0
2023-09-02 05:00:00,787.0
2023-09-02 06:00:00,795.0
2023-09-02 07:00:00,828.0
2023-09-02 08:00:00,988.0
2023-09-02 09:00:00,961.0
2023-09-02 10:00:00,994.0
2023-09-02 11:00:00,1002.0
2023-09-02 12:00:00,997.0
2023-09-02 13:00:00,977.0
2023-09-02 14:00:00,964.0
2023-09-02 15:00:00,1086.0
2023-09-02 16:00:00,1159.0
2023-09-02 17:00:00,1059.0
2023-09-02 18:00:00,1173.0
2023-09-02 19:00:00,1268.0
2023-09-02 20:00:00,1281.0
2023-09-02 21:00:00,1268.0
2023-09-02 22:00:00,1218.0
2023-09-02 23:00:00,1015.0
2023-09-03 00:00:00,898.0
2023-09-03 01:00:00,826.0
2023-09-03 02:00:00,825.0
2023-09-03 03:00:00,806.0
2023-09-03 04:00:00,791.0
2023-09-03 05:00:00,807.0
2023-09-03 06:00:00,823.0
2023-09-03 07:00:00,864.0
2023-09-03 08:00:00,1013.0
2023-09-03 09:00:00,1041.0
2023-09-03 10:00:00,1014.0
