date,kWh,building
2022-12-05 00:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 01:00:00,4.0,30 Mac Main Electricity Meter
2022-12-05 02:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 03:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 04:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 05:00:00,2.0,30 Mac Main Electricity Meter
2022-12-05 06:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 07:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 08:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 09:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 10:00:00,4.0,30 Mac Main Electricity Meter
2022-12-05 11:00:00,4.0,30 Mac Main Electricity Meter
2022-12-05 12:00:00,4.0,30 Mac Main Electricity Meter
2022-12-05 13:00:00,3.0,30 Mac Main Electricity Meter
2022-12-05 14:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 15:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 16:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 17:00:00,4.0,30 Mac Main Electricity Meter
2022-12-05 18:00:00,5.0,30 Mac Main Electricity Meter
2022-12-05 19:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 20:00:00,5.0,30 Mac Main Electricity Meter
2022-12-05 21:00:00,5.0,30 Mac Main Electricity Meter
2022-12-05 22:00:00,6.0,30 Mac Main Electricity Meter
2022-12-05 23:00:00,5.0,30 Mac Main Electricity Meter
2022-12-05 00:00:00,24.0,Bigelow Hall Main Electricity Meter
2022-12-05 01:00:00,22.0,Bigelow Hall Main Electricity Meter
2022-12-05 02:00:00,20.0,Bigelow Hall Main Electricity Meter
2022-12-05 03:00:00,19.0,Bigelow Hall Main Electricity Meter
2022-12-05 04:00:00,16.0,Bigelow Hall Main Electricity Meter
2022-12-05 05:00:00,18.0,Bigelow Hall Main Electricity Meter
2022-12-05 06:00:00,15.0,Bigelow Hall Main Electricity Meter
2022-12-05 07:00:00,16.0,Bigelow Hall Main Electricity Meter
2022-12-05 08:00:00,16.0,Bigelow Hall Main Electricity Meter
2022-12-05 09:00:00,18.0,Bigelow Hall Main Electricity Meter
2022-12-05 10:00:00,19.0,Bigelow Hall Main Electricity Meter
2022-12-05 11:00:00,19.0,Bigelow Hall Main Electricity Meter
2022-12-05 12:00:00,19.0,Bigelow Hall Main Electricity Meter
2022-12-05 13:00:00,20.0,Bigelow Hall Main Electricity Meter
2022-12-05 14:00:00,23.0,Bigelow Hall Main Electricity Meter
2022-12-05 15:00:00,24.0,Bigelow Hall Main Electricity Meter
2022-12-05 16:00:00,25.0,Bigelow Hall Main Electricity Meter
2022-12-05 17:00:00,21.0,Bigelow Hall Main Electricity Meter
2022-12-05 18:00:00,24.0,Bigelow Hall Main Electricity Meter
2022-12-05 19:00:00,24.0,Bigelow Hall Main Electricity Meter
